"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
277,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
278,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
279,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
280,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
281,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",""
282,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",""
283,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",127019.0
284,"2019-2020","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",""
285,"2019-2020","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
286,"2019-2020","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",""
287,"2019-2020","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Receipts netted against expenditure",""
288,"2019-2020","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",""
289,"2019-2020","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
290,"2019-2020","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
291,"2019-2020","044","Budget","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",""
292,"2019-2020","044","Budget","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",""
293,"2019-2020","044","Budget","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",""
294,"2019-2020","044","Budget","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",""
295,"2019-2020","044","Budget","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",""
296,"2019-2020","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
297,"2019-2020","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",""
298,"2019-2020","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",526000.0
299,"2019-2020","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",28000.0
300,"2019-2020","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",109343.0
301,"2019-2020","710","Budget","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",53.21
302,"2019-2020","710","Budget","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",305.72
303,"2019-2020","710","Budget","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1523.0
304,"2019-2020","710","Budget","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1898.0
305,"2019-2020","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",333.0
306,"2019-2020","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",17.0
307,"2019-2020","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",50.0
308,"2019-2020","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",""
309,"2019-2020","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",2768.0
310,"2019-2020","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-545.0
311,"2019-2020","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-1935.0
312,"2018-2019","020","Actual","Corporation Tax","Collections","None",580045.1
313,"2018-2019","020","Actual","Corporation Tax","Surcharge","None",58004.54
314,"2018-2019","020","Actual","Corporation Tax","Education Cess / Health and Education Cess","None",25521.98
315,"2018-2019","020","Actual","Corporation Tax","Penalties","None",""
316,"2018-2019","020","Actual","Corporation Tax","Interest Recoveries","None",""
317,"2018-2019","020","Actual","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
318,"2018-2019","020","Actual","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
319,"2018-2019","020","Actual","Corporation Tax","Miscellaneous Receipts","None",""
320,"2018-2019","021","Actual","Taxes on Income","Collections","None",399211.83
321,"2018-2019","021","Actual","Taxes on Income","Surcharge","None",44482.63
322,"2018-2019","021","Actual","Taxes on Income","Health and Education Cess","None",17793.05
323,"2018-2019","021","Actual","Taxes on Income","Penalties","None",""
324,"2018-2019","021","Actual","Taxes on Income","Interest Recoveries","None",""
325,"2018-2019","021","Actual","Taxes on Income","Tax Under Black Money","None",""
326,"2018-2019","021","Actual","Taxes on Income","Miscellaneous Receipts","None",""
327,"2018-2019","036","Actual","Taxes on Income","Banking Transaction Tax (BCTT)","None",""
328,"2018-2019","034","Actual","Taxes on Income","Security Transaction Tax","None",11527.5
329,"2018-2019","023","Actual","Taxes on Income","Hotel Receipts Tax","None",0.44
330,"2018-2019","024","Actual","Taxes on Income","Interest Tax","None",3.19
331,"2018-2019","026","Actual","Taxes on Income","Fringe Benefit Tax","None",-31.59
332,"2018-2019","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","None",15.81
333,"2018-2019","031","Actual","Wealth Tax","Estate Duty","None",1.12
334,"2018-2019","032","Actual","Wealth Tax","Taxes on Wealth","None",39.74
335,"2018-2019","037","Actual","Customs","Import Duties","Basic Duties ",104783.26
336,"2018-2019","037","Actual","Customs","Import Duties","Additional Duty on Customs(CVD) ",1835.31
337,"2018-2019","037","Actual","Customs","Import Duties","Special CV Duty ",78.07
338,"2018-2019","037","Actual","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",3.0
339,"2018-2019","037","Actual","Customs","Import Duties","National Calamity Contingent Duty ",2.36
340,"2018-2019","037","Actual","Customs","Import Duties","Education Cess ",75.94
341,"2018-2019","037","Actual","Customs","Import Duties","Secondary and Higher Education Cess ",23.46
342,"2018-2019","037","Actual","Customs","Import Duties","Social Welfare Surcharge ",8864.8
343,"2018-2019","037","Actual","Customs","Export Duty","Social Welfare Surcharge ",-891.7
344,"2018-2019","037","Actual","Customs","Cesses on Exports","Social Welfare Surcharge ",1536.0
345,"2018-2019","037","Actual","Customs","Other Receipts","Social Welfare Surcharge ",1502.35
346,"2018-2019","038","Actual","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",69351.86
347,"2018-2019","038","Actual","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",15307.79
348,"2018-2019","038","Actual","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",44272.66
349,"2018-2019","038","Actual","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",1797.8
350,"2018-2019","038","Actual","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",31177.59
351,"2018-2019","038","Actual","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",0.2
352,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",3.59
353,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",1.86
354,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",17814.23
355,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",-0.03
356,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",13.4
357,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.08
358,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",-27.49
359,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",4.88
360,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",6.36
361,"2018-2019","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",51266.03
362,"2018-2019","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",1.78
363,"2018-2019","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
364,"2018-2019","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",7.0
365,"2018-2019","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Less-Receipts netted against expenditure",""
366,"2018-2019","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",45.34
367,"2018-2019","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
368,"2018-2019","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
369,"2018-2019","044","Actual","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",6493.24
370,"2018-2019","044","Actual","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",17.72
371,"2018-2019","044","Actual","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",8.85
372,"2018-2019","044","Actual","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",215.74
373,"2018-2019","044","Actual","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",168.07
374,"2018-2019","040","Actual","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
375,"2018-2019","045","Actual","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",936.97
376,"2018-2019","005","Actual","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",457534.01
377,"2018-2019","008","Actual","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",28944.58
378,"2018-2019","009","Actual","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",95080.71
379,"2018-2019","710","Actual","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",9.88
380,"2018-2019","710","Actual","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",218.93
381,"2018-2019","710","Actual","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1077.21
382,"2018-2019","710","Actual","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1080.3
383,"2018-2019","710","Actual","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",218.9
384,"2018-2019","710","Actual","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",13.51
385,"2018-2019","710","Actual","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",31.09
